local_datetime,update,episode_reward
2026-01-29 14:14:20.935,1,-284.7130466670043
2026-01-29 14:14:23.724,1,-105.45667113063928
2026-01-29 14:14:25.198,1,-130.94969404171096
2026-01-29 14:14:27.743,1,-257.66556972416174
2026-01-29 14:14:29.053,1,-64.79052396440221
2026-01-29 14:14:30.537,1,-89.24234439871287
2026-01-29 14:14:32.801,1,-366.86098796887654
2026-01-29 14:14:34.193,1,-143.50770999370638
2026-01-29 14:14:36.069,1,-141.98741771618938
2026-01-29 14:14:38.558,1,-98.46826286665879
2026-01-29 14:14:41.555,2,-205.6345702934896
2026-01-29 14:14:43.623,2,-350.8849949690048
2026-01-29 14:14:45.617,2,-171.84453229975844
2026-01-29 14:14:47.323,2,-110.95517016961344
2026-01-29 14:14:49.071,2,-261.49237127229424
2026-01-29 14:14:51.345,2,-148.3034133654316
2026-01-29 14:14:53.137,2,-194.68525296559721
2026-01-29 14:14:55.504,2,-152.07512587530596
2026-01-29 14:14:57.543,2,-187.10379694090676
2026-01-29 14:14:59.659,2,-121.74255357001483
2026-01-29 14:15:01.189,2,-149.74804771947132
2026-01-29 14:15:04.259,3,-352.67133358735674
2026-01-29 14:15:06.481,3,-192.77551881107593
2026-01-29 14:15:08.422,3,-347.58230723439914
2026-01-29 14:15:10.010,3,-202.11235471853365
2026-01-29 14:15:12.243,3,-169.41766946176716
2026-01-29 14:15:14.215,3,-113.66420136498569
2026-01-29 14:15:16.338,3,-359.6109454433497
2026-01-29 14:15:18.350,3,-158.58067218880973
2026-01-29 14:15:19.863,3,-86.0710730275107
2026-01-29 14:15:21.631,3,-182.33377995189318
2026-01-29 14:15:23.926,3,-99.58215364903567
2026-01-29 14:15:26.835,4,-337.8456837516719
2026-01-29 14:15:28.519,4,-181.10072723940738
2026-01-29 14:15:30.323,4,-234.6329147340625
2026-01-29 14:15:32.419,4,-96.30604214937468
2026-01-29 14:15:34.870,4,-282.7846031553389
2026-01-29 14:15:37.361,4,-417.1176971288325
2026-01-29 14:15:39.467,4,-142.1036582750316
2026-01-29 14:15:41.855,4,-215.16079085588524
2026-01-29 14:15:43.735,4,-100.88440180285723
2026-01-29 14:15:46.851,5,-190.66981130924705
2026-01-29 14:15:48.918,5,-92.57318023440314
2026-01-29 14:15:50.550,5,-133.17987757686154
2026-01-29 14:15:52.137,5,-92.42979772588552
2026-01-29 14:15:54.244,5,-14.956713453662857
2026-01-29 14:15:56.074,5,-324.99006884965274
2026-01-29 14:15:58.123,5,-192.49235787012313
2026-01-29 14:16:00.399,5,-2.4784977478263386
2026-01-29 14:16:02.686,5,-117.93138567910981
2026-01-29 14:16:04.157,5,-220.70351745633974
2026-01-29 14:16:05.945,5,-160.90696636683367
2026-01-29 14:16:08.519,6,-249.2174101814157
2026-01-29 14:16:10.569,6,-181.15943800184078
2026-01-29 14:16:13.100,6,-256.77877855258754
2026-01-29 14:16:16.342,6,-204.96861746437196
2026-01-29 14:16:19.137,6,-123.39498616241114
2026-01-29 14:16:21.271,6,-242.44403476457006
2026-01-29 14:16:22.543,6,-94.23039354767246
2026-01-29 14:16:25.125,6,-247.672387038592
2026-01-29 14:16:26.616,6,-143.11646866466114
2026-01-29 14:16:28.958,6,-97.13310288365432
2026-01-29 14:16:31.057,7,-148.33431479106173
2026-01-29 14:16:33.174,7,-190.627837043634
2026-01-29 14:16:35.234,7,-89.06591245472947
2026-01-29 14:16:37.629,7,-99.41134212472934
2026-01-29 14:16:39.679,7,-489.507347983988
2026-01-29 14:16:41.885,7,-255.23094602171003
