local_datetime,update,policy_loss,value_loss,entropy,approx_kl,clipfrac,avg_reward_10
2026-01-29 14:40:27.919,1,-0.0010258377878926694,10.0,1.3846409767866135,0.00015528178482782096,0.0,-150.69952992401795
2026-01-29 14:40:49.589,2,-0.0024049269850365818,10.0,1.384021796286106,0.00029331035329960287,0.0,-185.3379733432638
2026-01-29 14:41:11.325,3,-0.0008036065264604986,10.0,1.3837376981973648,0.00022344985336530954,0.0,-152.12424785484416
2026-01-29 14:41:33.085,4,-0.00178519292967394,10.0,1.3817943707108498,0.0002166728809243068,0.0,-187.12674241976507
2026-01-29 14:41:54.896,5,-0.0012597547029145062,10.0,1.379836991429329,0.00023170137137640268,0.0,-135.98240329187928
2026-01-29 14:42:16.651,6,-0.0022950865095481277,10.0,1.3745794296264648,0.0002930166956502944,0.0,-174.8105960366952
2026-01-29 14:42:38.301,7,-0.0015405070735141635,10.0,1.3636605963110924,0.0006814792577642947,0.0,-189.03939310853139
2026-01-29 14:43:00.013,8,-0.0036375769414007664,10.0,1.3676047772169113,0.00034071836853399873,0.0009765625,-124.50792793733956
2026-01-29 14:43:21.636,9,-0.0024152726109605283,10.0,1.3687983453273773,0.0008841914241202176,0.000244140625,-86.42354642549026
2026-01-29 14:43:43.244,10,-0.0023129935143515468,10.0,1.3632119670510292,0.0006262086535571143,0.0,-150.72549975072752
2026-01-29 14:44:04.991,11,-0.0007617761148139834,10.0,1.3666655495762825,0.0002504492877051234,0.0,-149.72583433623106
2026-01-29 14:44:26.753,12,-0.0009749730816110969,10.0,1.3418044596910477,0.00024492152442689985,0.0,-131.62960058617472
2026-01-29 14:44:48.390,13,-0.0014473387273028493,10.0,1.354738138616085,0.0003164115478284657,0.0,-138.74861314630795
2026-01-29 14:45:09.993,14,-0.004125670122448355,10.0,1.3259583562612534,0.001269570188014768,0.0,-136.60030308330823
2026-01-29 14:45:31.618,15,-0.0029434298630803823,10.0,1.3224442154169083,0.0017666539788478985,0.0,-146.37372316321435
2026-01-29 14:45:53.188,16,-0.0034224095288664103,10.0,1.2884178385138512,0.0022492977877845988,0.0,-98.20816353415842
2026-01-29 14:46:14.856,17,-0.002279749431181699,10.0,1.2290218845009804,0.0008080548286670819,0.0,-188.17579355702014
2026-01-29 14:46:36.446,18,-0.0034011442912742496,10.0,1.244276575744152,0.0010117263882420957,0.00634765625,-223.03094452769238
2026-01-29 14:46:58.073,19,-0.0002812152961269021,10.0,1.2441423833370209,0.0002684811333892867,0.0,-177.88709497695123
2026-01-29 14:47:19.585,20,-0.00033063930459320545,10.0,1.2457668110728264,0.00016161649546120316,0.0,-161.66711209227807
2026-01-29 14:47:41.272,21,-0.0006908858194947243,10.0,1.2795532569289207,0.00017890959861688316,0.0,-169.82574034195662
2026-01-29 14:48:02.888,22,-0.006363915686961263,10.0,1.2506914734840393,0.0023460923839593306,0.013916015625,-121.47400533182152
2026-01-29 14:48:24.363,23,-0.0016277236863970757,10.0,1.2844589948654175,0.0005566248582908884,0.001708984375,-142.79064456282813
2026-01-29 14:48:45.984,24,-0.002684718812815845,10.0,1.271860659122467,0.0005392037564888597,0.0,-104.01983104890023
2026-01-29 14:49:07.564,25,-0.0023320934269577265,10.0,1.2750592678785324,0.0010061827779281884,0.0,-111.7260336594381
2026-01-29 14:49:29.256,26,-0.0036104248138144612,10.0,1.2224315032362938,0.0018110960518242791,0.0029296875,-126.95330789175603
2026-01-29 14:49:50.679,27,-0.004130088724195957,10.0,1.2064001336693764,0.001646264674491249,0.0029296875,-134.19812116292343
2026-01-29 14:50:12.231,28,-0.002423405763693154,10.0,1.1435542181134224,0.0017469273880124092,0.0068359375,-163.10560481972823
2026-01-29 14:50:33.690,29,-0.00475505345093552,10.0,1.1499402821063995,0.0025097379548242316,0.030029296875,-203.371090894825
2026-01-29 14:50:55.169,30,-0.003975841973442584,10.0,1.2007227912545204,0.002836491199559532,0.03125,-217.25666354000245
2026-01-29 14:51:16.857,31,-0.0008785828249529004,10.0,1.1933285146951675,0.0004290022770874202,0.0,-121.57842394984291
2026-01-29 14:51:38.462,32,-0.0022323118755593896,10.0,1.2155851125717163,0.0003920579329133034,0.0,-65.77071700912472
2026-01-29 14:52:00.078,33,-0.009537348989397287,10.0,1.1595530807971954,0.005072800282505341,0.05224609375,-89.2416752874576
2026-01-29 14:52:21.533,34,-0.0022099653142504394,10.0,1.1074722111225128,0.0007400372414849699,0.0,-91.95203448049219
2026-01-29 14:52:42.886,35,-0.004018887761048973,10.0,1.2575680762529373,0.0008284354844363406,0.002685546875,-106.07094555612441
2026-01-29 14:53:04.320,36,-0.004617507918737829,10.0,1.1217847988009453,0.001221679340233095,0.001220703125,-108.61376421945815
2026-01-29 14:53:25.717,37,-0.0022307293256744742,10.0,1.1032836809754372,0.0019534389284672216,0.0087890625,-116.54906347078686
2026-01-29 14:53:47.150,38,-0.003734006197191775,10.0,1.1062886267900467,0.0016435353754786775,0.007080078125,-84.5690892426845
2026-01-29 14:54:08.702,39,-0.0012920688604936004,10.0,1.1368571817874908,0.000366784879588522,0.0,-49.66051650570447
2026-01-29 14:54:30.380,40,-0.004406343738082796,10.0,1.1087469980120659,0.0014602572919102386,0.00341796875,-49.906821079617245
2026-01-29 14:54:51.746,41,-0.0029144493164494634,10.0,1.1108024641871452,0.00037895703280810267,0.0009765625,-57.27813755071338
2026-01-29 14:55:13.181,42,-0.001145098591223359,10.0,1.081023670732975,0.0010814849083544686,0.00390625,-73.4866468010836
2026-01-29 14:55:34.565,43,-0.00516817782772705,10.0,1.2105836868286133,0.001227716464200057,0.006591796875,-96.70477875562453
2026-01-29 14:55:55.908,44,-0.003272975387517363,10.0,1.1400748193264008,0.001253433059900999,0.0,-73.46662866928841
2026-01-29 14:56:17.229,45,-0.0034058130404446274,10.0,1.0108493715524673,0.0008254006825154647,0.001953125,-60.81585126339934
2026-01-29 14:56:38.678,46,-0.004145460901781917,10.0,1.200141817331314,0.0018800867110257968,0.01416015625,-49.54754509018716
2026-01-29 14:57:00.195,47,-0.0024810013128444552,10.0,1.0483009219169617,0.0005837398202857003,0.0,-47.00773045131845
2026-01-29 14:57:21.474,48,-0.0037962885689921677,10.0,1.2578486576676369,0.0017811369325499982,0.01953125,-29.23553201555426
2026-01-29 14:57:42.684,49,-0.005001354496926069,10.0,1.2187506034970284,0.001423265814082697,0.01708984375,-0.8950110661546631
2026-01-29 14:58:04.229,50,-0.0030897384276613593,10.0,1.02947386354208,0.00028586716507561505,0.000732421875,-30.67983815929434
2026-01-29 14:58:25.492,51,-0.002760613919235766,10.0,1.162173070013523,0.0038464898098027334,0.0439453125,-20.937531570720253
2026-01-29 14:58:46.779,52,-0.0054615698754787445,10.0,1.2110355123877525,0.006798511109082028,0.1015625,-3.745594641296134
2026-01-29 14:59:08.149,53,-0.0025616618804633617,10.0,1.0144614577293396,0.0010410527174826711,0.00146484375,-11.163098469354583
2026-01-29 14:59:29.654,54,-0.005050588282756507,10.0,1.1942748054862022,0.0009495234553469345,0.00537109375,-19.37854138492063
2026-01-29 14:59:51.028,55,-0.0034008126240223646,10.0,1.1526095494627953,0.0007324893522309139,0.0009765625,12.532951036572365
2026-01-29 15:00:12.315,56,-0.006100543891079724,10.0,1.1662931740283966,0.0024623674689792097,0.018798828125,31.054368218601155
2026-01-29 15:00:33.726,57,-0.0015823820140212774,10.0,1.1455999836325645,0.0013852119154762477,0.0009765625,-8.371247477062314
2026-01-29 15:00:55.134,58,-0.0038189011393114924,10.0,1.08003219217062,0.000830299366498366,0.001708984375,-1.573194260836523
2026-01-29 15:01:16.638,59,-0.005006535793654621,10.0,1.0332075133919716,0.0005135968240210786,0.001953125,-23.380340643151648
2026-01-29 15:01:38.063,60,-0.002365480235312134,10.0,0.9646116532385349,0.0005440996610559523,0.0,-20.06826049674572
