local_datetime,update,episode_reward
2026-01-29 14:40:06.999,1,-109.96562837737352
2026-01-29 14:40:08.688,1,-239.7681107439994
2026-01-29 14:40:10.530,1,-194.43147999519434
2026-01-29 14:40:12.097,1,-99.05803584945485
2026-01-29 14:40:13.440,1,-111.93132875285136
2026-01-29 14:40:14.930,1,-170.27068514513547
2026-01-29 14:40:16.415,1,-109.2361561623949
2026-01-29 14:40:18.447,1,-139.25715345131087
2026-01-29 14:40:20.382,1,-322.23633829811365
2026-01-29 14:40:22.492,1,-140.66089821202974
2026-01-29 14:40:23.919,1,-101.94510355647334
2026-01-29 14:40:26.069,1,-117.96811981722094
2026-01-29 14:40:28.528,2,-217.03530719415596
2026-01-29 14:40:30.430,2,-148.7333921829874
2026-01-29 14:40:33.124,2,-397.478023546108
2026-01-29 14:40:34.459,2,-90.82496864130927
2026-01-29 14:40:36.311,2,-76.37547847246238
2026-01-29 14:40:38.015,2,-164.0945513646363
2026-01-29 14:40:40.312,2,-140.22729186386442
2026-01-29 14:40:42.068,2,-103.64062827437171
2026-01-29 14:40:44.388,2,-98.07591885969609
2026-01-29 14:40:46.347,2,-416.8941730330467
2026-01-29 14:40:49.776,3,-269.20777254263385
2026-01-29 14:40:51.225,3,-145.72223969904093
2026-01-29 14:40:53.712,3,-123.98167296960574
2026-01-29 14:40:55.569,3,-166.42978082635648
2026-01-29 14:40:57.429,3,-231.54275300140148
2026-01-29 14:40:58.844,3,-135.63552600528004
2026-01-29 14:41:00.780,3,-241.41960612970826
2026-01-29 14:41:02.029,3,-151.7665236558135
2026-01-29 14:41:03.625,3,-111.7636119326301
2026-01-29 14:41:06.218,3,-155.8465279528157
2026-01-29 14:41:07.646,3,-111.01518112336151
2026-01-29 14:41:09.276,3,-91.84129495146858
2026-01-29 14:41:11.410,4,-95.54601657657864
2026-01-29 14:41:13.979,4,-40.67414362394785
2026-01-29 14:41:15.305,4,-156.97358036689087
2026-01-29 14:41:16.972,4,-92.27086570804856
2026-01-29 14:41:18.566,4,-190.97706752539966
2026-01-29 14:41:20.779,4,-298.08892734631803
2026-01-29 14:41:23.133,4,-308.4803469802199
2026-01-29 14:41:25.147,4,-102.48499570000452
2026-01-29 14:41:26.588,4,-102.3666056042218
2026-01-29 14:41:29.155,4,-429.90538471921735
2026-01-29 14:41:30.483,4,-66.66474342735994
2026-01-29 14:41:32.056,4,-123.05490681997007
2026-01-29 14:41:34.442,5,-112.51569087913933
2026-01-29 14:41:35.818,5,-115.14604972280294
2026-01-29 14:41:37.492,5,-198.28329892241067
2026-01-29 14:41:39.596,5,-98.26533994398149
2026-01-29 14:41:41.232,5,-251.13179198165025
2026-01-29 14:41:43.213,5,-196.03492519177547
2026-01-29 14:41:45.029,5,-74.04595201458538
2026-01-29 14:41:47.659,5,-138.84380359985656
2026-01-29 14:41:49.451,5,-115.82937005690886
2026-01-29 14:41:51.329,5,-58.786595696088995
2026-01-29 14:41:53.390,5,-113.45690578873209
2026-01-29 14:41:56.133,6,-127.94396143807612
2026-01-29 14:41:58.631,6,-268.01535776199825
2026-01-29 14:42:00.327,6,-134.60298303193662
2026-01-29 14:42:02.825,6,-205.66115336888072
2026-01-29 14:42:04.560,6,-112.91787522734244
